group,P
A1BG,0.399871199501473
A1BG-AS1,0.244904172681127
A1CF,0.444106446223483
A2M,0.844718953042263
A2M-AS1,0.201410995504849
A2ML1,0.767857891433983
A2MP1,0.0035398098080783
A3GALT2,0.42317607533267
A4GALT,0.701328437119977
A4GNT,0.391738952667209
AA06,0.42299556947285
AAAS,0.170618999381476
AACS,0.29994142137307
AACSP1,0.984523157711336
AADAC,0.324272036419874
AADACL2-AS1,0.216531477968615
AADACL3,0.773599625600517
AADACL4,0.317768765197821
AADACP1,0.222503239149539
AADAT,0.615548167867007
AAGAB,0.463247276824266
AAK1,0.635112384546712
AAMDC,0.151412548094332
AAMP,0.769967529724961
AANAT,0.255965762038584
AAR2,0.0509772948354972
AARD,0.416491969089099
AARS1,0.336480034635353
AARS2,0.574052962262975
AARSD1,0.700567384579312
AASDH,0.876281999541726
AASDHPPT,0.76524983900818
AASS,0.982885376808938
AATBC,0.0608116524092075
AATF,0.478644714712865
AATK,0.545870802970914
ABALON,0.422108313805957
ABAT,0.718980706417224
ABCA1,0.429845007795953
ABCA10,0.578362229995788
ABCA11P,0.510848523570133
ABCA12,0.454816296334512
ABCA13,0.7600599728687
ABCA17P,0.302478228657727
ABCA2,0.870525343378423
ABCA3,0.520328478730609
ABCA4,0.236302882393591
ABCA5,0.516639907874036
ABCA6,0.363951380847599
ABCA7,0.351522116191036
ABCA8,0.707764771626839
ABCA9,0.0351259930514709
ABCA9-AS1,0.102999373710408
ABCB1,0.0875602861805342
ABCB10,0.474571953328548
ABCB4,0.0267150277354958
ABCB5,0.610587274840541
ABCB6,0.634688332056417
ABCB7,0.496915780308933
ABCB8,0.791313030479763
ABCB9,0.43002826116677
ABCC10,0.933069876554222
ABCC11,0.429806815521165
ABCC12,0.336213868754607
ABCC13,0.876764068098502
ABCC2,0.756073022857598
ABCC3,0.703888930352993
ABCC4,0.309224839801864
ABCC5,0.612988184542599
ABCC5-AS1,0.591312342434434
ABCC6P1,0.936183573159845
ABCC8,0.353502425611268
ABCC9,0.735694625412199
ABCD1,0.332927528961831
ABCD2,0.847806136010575
ABCD3,0.952867304294956
ABCD4,0.369288431165494
ABCE1,0.438051728930502
ABCF2,0.54486280126814
ABCF3,0.722655059252421
ABCG1,0.886817039126527
ABCG2,0.311891214597701
ABCG4,0.749024493444059
ABCG5,0.397129981295367
ABCG8,0.334473119551813
ABHD1,0.0777904601172238
ABHD10,0.560174143455439
ABHD11,0.764388529327887
ABHD11-AS1,0.809856204599473
ABHD12,0.404772765125658
ABHD12B,0.216764173087846
ABHD13,0.12637453320448
ABHD14A,0.09684691337676
ABHD14A-ACY1,0.0837836849078332
ABHD14B,0.11615998071257
ABHD15,0.426118617866309
ABHD16A,0.520729785624018
ABHD16B,0.383867907577286
ABHD17A,0.543780193118271
ABHD17B,0.0666087105740818
ABHD17C,0.423913954133095
ABHD18,0.995012677749547
ABHD2,0.633281412045057
ABHD3,0.0144650437603315
ABHD4,0.357377540058088
ABHD5,0.141619089025036
ABHD6,0.489913191465674
ABHD8,0.750661094275664
ABI1,0.799181046936859
ABI2,0.289701452114919
ABI3,0.629159973351499
ABI3BP,0.954680053011195
ABITRAM,0.860174884538608
ABL1,0.660822622675513
ABL2,0.614793052131044
ABLIM1,0.235299279407695
ABLIM2,0.375716769000846
ABLIM3,0.512451200488932
ABO,0.661334569974827
ABRA,0.179130147533272
ABRACL,0.934496146332543
ABRAXAS1,0.53385145019487
ABRAXAS2,0.922268825979302
ABT1,0.353609825547968
ABTB1,0.31454947673232
ABTB2,0.8610002375642
ACAA1,0.830856102853551
ACAA2,0.508404989055653
ACACB,0.366919317037981
ACAD10,0.238418331390649
ACAD11,0.497150453734741
ACAD8,0.87374591635459
ACAD9,0.284199081707885
ACADL,0.624056147233926
ACADM,0.0652027504576086
ACADS,0.789927885423558
ACADSB,0.757357420760767
ACADVL,0.100264713595664
ACAN,0.510609319881092
ACAP1,0.876318052669399
ACAP2,0.332188306026026
ACAP3,0.275997138524996
ACAT1,0.790168216242686
ACAT2,0.188969057762206
ACBD3,0.238549826658335
ACBD3-AS1,0.317361257574074
ACBD4,0.543043521905813
ACBD5,0.123970876756648
ACBD6,0.739912645653469
ACBD7,0.538274415905393
ACBD7-DCLRE1CP1,0.292460555943194
ACCS,0.92595274770617
ACCSL,0.964491985889396
ACD,0.0544102683355401
ACE,0.248647364182187
ACE2,0.136220090688692
ACER1,0.178496001644562
ACER2,0.824059846253017
ACER3,0.579834191718183
ACHE,0.571184204000383
ACIN1,0.533087104491869
ACKR1,0.717471509011585
ACKR2,0.208652698872265
ACKR3,0.824886839307685
ACKR4,0.233926882692817
ACLY,0.927309618693975
ACMSD,0.657692749193425
ACO1,0.807104062800617
ACO2,0.509074321827952
ACOD1,0.451761177117586
ACOT1,0.445721809239054
ACOT11,0.758700460118429
ACOT12,0.411765012924421
ACOT13,0.601634902179495
ACOT2,0.673833289917722
ACOT4,0.710208930418949
ACOT6,0.239207219911702
ACOT7,0.891453474944699
ACOT8,0.364531450617402
ACOT9,0.0300561260451925
ACOX1,0.562833428476274
ACOX2,0.623777948360214
ACOX3,0.046878502705857
ACOXL,0.950848110368261
ACOXL-AS1,0.216832766840999
ACP1,0.85174570374947
ACP2,0.136567221243885
ACP3,0.292211343023625
ACP4,0.106958769648804
ACP5,0.297550657658769
ACP6,0.228253974957505
ACP7,0.463867042504634
ACRBP,0.819832440995705
ACRV1,0.0830883835363384
ACSBG1,0.276590062848781
ACSBG2,0.268818766535535
ACSF2,0.666927215589284
ACSF3,0.919705853478468
ACSL1,0.44819880535438
ACSL3,0.337923423411809
ACSL4,0.188397722561647
ACSL5,0.016314759648585
ACSL6,0.791159870225716
ACSM1,0.0145301031908217
ACSM2A,0.657807178816785
ACSM2B,0.0290955619422901
ACSM3,0.168653239413907
ACSM4,0.17697568812568
ACSM5,0.962300077215301
ACSM6,0.71325705277264
ACSS1,0.0225938437130187
ACSS2,0.216190605065458
ACSS3,0.28201367163765
ACTA1,0.747509460043601
ACTA2,0.86967186533026
ACTA2-AS1,0.991252981059318
ACTB,0.342167966953891
ACTBL2,0.0192812917245631
ACTC1,0.625149218891899
ACTG1,0.610315714513279
ACTG1P17,0.464743241303647
ACTG1P20,0.845074650227499
ACTG1P4,0.362824873478986
ACTG2,0.182037971489286
ACTL10,0.461666663588568
ACTL6A,0.712789247345391
ACTL6B,0.558126487215342
ACTL7A,0.28482654735325
ACTL7B,0.444362795028625
ACTL8,0.929356839069021
ACTL9,0.966959823387814
ACTN1,0.186712285946801
ACTN1-AS1,0.188396007972908
ACTN2,0.609201356821563
ACTN3,0.247627617057084
ACTN4,0.94289301431823
ACTR10,0.941772877046061
ACTR1A,0.361680925353618
ACTR1B,0.885291109495998
ACTR2,0.896570704275587
ACTR3,0.929559562928889
ACTR3-AS1,0.921767020749656
ACTR3B,0.5184454080707
ACTR3BP2,0.446465192034401
ACTR3BP5,0.0830304373250372
ACTR3C,0.926257192268902
ACTR5,0.0985223592031994
ACTR6,0.743740272350447
ACTR8,0.111264307172926
ACTRT1,0.145147432731949
ACTRT2,0.505479137883178
ACTRT3,0.804632552539605
ACVR1,0.433690447034297
ACVR1B,0.656299280057821
ACVR1C,0.513814873348862
ACVR2A,0.195896913922095
ACVR2B,0.391206870359333
ACVR2B-AS1,0.464115277067767
ACVRL1,0.20272735535274
ACY1,0.0827904101092478
ACY3,0.540741941484469
ACYP1,0.325787710494929
ACYP2,0.637557093225667
ADA,0.986477534454874
ADA2,0.105837896931195
ADAD1,0.632484714956942
ADAD2,0.108876934010216
ADAL,0.906802795585147
ADAM10,0.457188691292119
ADAM11,0.201444607740535
ADAM12,0.582815942660062
ADAM15,0.562043914377105
ADAM17,0.531630350012008
ADAM19,0.0854704321731311
ADAM2,0.723353210878102
ADAM20,0.290443716795033
ADAM20P1,0.476838366535573
ADAM21,0.680441999724574
ADAM21P1,0.0953321562510577
ADAM22,0.25899436582866
ADAM23,0.489989927752966
ADAM28,0.864864059031712
ADAM29,0.128748100133148
ADAM30,0.244678267767625
ADAM33,0.918137946011702
ADAM3A,0.59532827122928
ADAM3B,0.188055235647114
ADAM5,0.504076297251221
ADAM6,0.0601557712283823
ADAM7,0.339251051312825
ADAM8,0.81768542929665
ADAM9,0.518531656295847
ADAMDEC1,0.614321715178329
ADAMTS1,0.497240550639496
ADAMTS10,0.0540454474764037
ADAMTS12,0.432891351853153
ADAMTS14,0.667729930732859
ADAMTS15,0.7111697590755
ADAMTS16,0.389918046017253
ADAMTS17,0.588768063446508
ADAMTS18,0.505150030235872
ADAMTS19,0.631425584368794
ADAMTS19-AS1,0.203913824486917
ADAMTS20,0.878566230636274
ADAMTS3,0.864104231939183
ADAMTS4,0.155696193040382
ADAMTS5,0.407505763863392
ADAMTS6,0.681229015654685
ADAMTS7,0.812514830563286
ADAMTS7P1,0.268809974046173
ADAMTS8,0.813315461894025
ADAMTS9,0.812770588512438
ADAMTS9-AS1,0.4219053828838
ADAMTS9-AS2,0.158882032537971
ADAMTSL1,0.308884417455737
ADAMTSL2,0.610331073845582
ADAMTSL3,0.691902457314781
ADAMTSL4,0.724203162523607
ADAMTSL4-AS1,0.385796578242387
ADAMTSL5,0.60656710405289
ADAP1,0.255073516878912
ADAP2,0.61491351198912
ADAR,0.781126676045314
ADARB1,0.647648158846381
ADARB2,0.683607039505437
ADARB2-AS1,0.799531658978766
ADAT1,0.781934231633474
ADAT2,0.467698439621187
ADAT3,0.0320134927082419
ADCK1,0.193645101524828
ADCK2,0.229369352273867
ADCK5,0.0818404700499099
ADCY1,0.379851192061421
ADCY10,0.656247427856872
ADCY10P1,0.992691903735808
ADCY2,0.434271885008858
ADCY3,0.34550224558158
ADCY4,0.0212549008604804
ADCY5,0.731629453094809
ADCY6,0.132630443802772
ADCY6-DT,0.212298036154743
ADCY7,0.274372820051628
ADCY8,0.202750582916046
ADCY9,0.652462048592942
ADCYAP1,0.430321146177786
ADCYAP1R1,0.0885745654979883
ADD1,0.283300387368886
ADD2,0.443096402043296
ADD3,0.882275438071283
ADD3-AS1,0.384007610715058
ADGB,0.40667616879115
ADGRA1,0.257391494199362
ADGRA1-AS1,0.447622037124437
ADGRA2,0.0199457021621626
ADGRA3,0.512676813402324
ADGRB1,0.858435454367575
ADGRB2,0.800232101624507
ADGRB3,0.0424247963387087
ADGRD1,0.0443185640699127
ADGRD1-AS1,0.0423356725928355
ADGRE1,0.616904767408311
ADGRE2,0.278035907702362
ADGRE3,0.122497649955941
ADGRE4P,0.672351170601361
ADGRE5,0.391015707821212
ADGRF1,0.927605494147136
ADGRF2,0.196317271129136
ADGRF3,0.295055763644051
ADGRF4,0.0961367808264019
ADGRF5,0.203230472967856
ADGRF5-AS1,0.549560282011832
ADGRG1,0.406903990215858
ADGRG2,0.615592186410102
ADGRG3,0.598538836165392
ADGRG4,0.952799034006335
ADGRG5,0.667243295375361
ADGRG6,0.128042679520506
ADGRG7,0.872102942315731
ADGRL1,0.485229989545233
ADGRL2,0.447912277410728
ADGRL3,0.136017212364782
ADGRL3-AS1,0.979559061289436
ADGRL4,0.189479348093406
ADGRV1,0.961768080131265
ADH1A,0.01348588373728
ADH1B,0.0718719228415909
ADH1C,0.0831457097929245
ADH4,0.0562737291371994
ADH5,0.0578580909764556
ADH6,0.0164022868931221
ADH7,0.145122917725198
ADHFE1,0.214970300278093
ADI1,0.403084725118513
ADIG,0.260343391539134
ADIPOQ,0.20172515426336
ADIPOQ-AS1,0.0756293568181247
ADIPOR1,0.324071452332741
ADIPOR2,0.027335892832819
ADIRF,0.605969687535923
ADK,0.0926365436199206
ADM,0.446426950813206
ADM2,0.510423722670642
ADM5,0.357594019084979
ADNP,0.092974864074002
ADNP-AS1,0.104820084123481
ADNP2,0.486633048017093
ADO,0.294763601110691
ADORA1,0.265275624016659
ADORA2A,0.41906495269508
ADORA2A-AS1,0.227104066933936
ADORA2B,0.478230146274293
ADORA3,0.349833790449979
ADPGK,0.0535906494326854
ADPGK-AS1,0.292095556411336
ADPRH,0.830244356840685
ADPRHL1,0.884356172233931
ADPRM,0.733261841720316
ADPRS,0.896198422871846
ADRA1A,0.679964718782983
ADRA1B,0.245441534365344
ADRA1D,0.380152983384485
ADRA2A,0.0475334005334443
ADRA2B,0.326431010494182
ADRA2C,0.607141046914327
ADRB1,0.957816772861026
ADRB2,0.300170480895762
ADRB3,0.156250836705952
