group,P
A1BG,NA
A1BG-AS1,NA
A1CF,NA
A2M,0.115053165950535
A2ML1,NA
A2MP1,NA
A3GALT2,0.957673428835987
A4GALT,0.249619050095334
A4GNT,0.842205596828978
AAAS,0.00584785873656811
AACS,NA
AACSP1,NA
AADAC,0.997985015594564
AADACL2,0.330018031902155
AADACL3,NA
AADACL4,NA
AADAT,0.149552375558684
AAGAB,0.0121669818308589
AAK1,0.0713140593149047
AAMDC,NA
AAMP,NA
AAR2,0.779095161802247
AARD,NA
AARS1,0.18815131577804
AARS2,0.540826939995008
AARSD1,0.211704948436065
AASDH,0.826251348573852
AASDHPPT,NA
AASS,0.855546807702477
AATF,0.00734791659026967
AATK,0.74475832342256
ABCA1,0.000801148992931441
ABCA10,0.421561351944599
ABCA12,0.628578917479245
ABCA13,0.934324746356328
ABCA17P,NA
ABCA2,0.143654098607982
ABCA3,0.162083446038891
ABCA4,0.490756384659181
ABCA5,0.860422223067298
ABCA6,0.167129906748063
ABCA7,0.581271380790013
ABCA8,0.00393986863055895
ABCA9,0.289949295070834
ABCA9-AS1,NA
ABCB1,0.745381758212589
ABCB10,NA
ABCB11,0.96754353893845
ABCB4,0.258918159605996
ABCB5,0.926870386798855
ABCB6,0.72499343402031
ABCB8,0.723187046077046
ABCB9,0.990259762448044
ABCC1,0.0590280759486339
ABCC10,0.140627114463743
ABCC11,0.946574322924843
ABCC12,0.775349889027438
ABCC13,0.579359318188404
ABCC2,0.904629152403467
ABCC3,0.226204337311778
ABCC4,0.726234436570883
ABCC5,NA
ABCC6,0.330142482323419
ABCC8,0.590026471683342
ABCC9,0.472933273799676
ABCD2,0.0074284964452285
ABCD3,0.0959173276980302
ABCD4,0.0987363052322693
ABCE1,0.940974143416659
ABCF1,0.0015964622657582
ABCF2,NA
ABCF2-H2BE1,0.732563467933544
ABCF3,0.349868561990821
ABCG1,NA
ABCG2,0.113352356894029
ABCG4,0.996043337459853
ABCG5,0.969005772185491
ABCG8,0.0450346977606595
ABHD1,NA
ABHD10,NA
ABHD11,NA
ABHD12,0.909384647910335
ABHD12B,0.95741732405579
ABHD14A,NA
ABHD14A-ACY1,NA
ABHD14B,0.0555470806699279
ABHD15,0.267563634745901
ABHD15-AS1,0.494371659043594
ABHD16A,NA
ABHD16B,0.993212238341692
ABHD17A,NA
ABHD17C,0.328662514292851
ABHD18,0.428006936163977
ABHD2,0.444515994718663
ABHD3,NA
ABHD4,0.653727273142436
ABHD5,0.674081112687505
ABHD6,0.242881660997561
ABHD8,NA
ABI1,0.00095114827147207
ABI2,0.209943287336193
ABI3BP,NA
ABITRAM,0.161934235242727
ABL1,0.874738743351132
ABL2,NA
ABLIM1,0.0181107796018011
ABLIM2,0.850588246422841
ABLIM3,0.991949281747868
ABO,0.535520933543412
ABR,0.156258986458578
ABRA,NA
ABRACL,0.709050801454315
ABRAXAS1,0.0175877771392246
ABRAXAS2,0.101345636500907
ABTB1,0.0520746267910002
ABTB2,0.859994884886219
ACAA1,0.897524705492694
ACAA2,0.683094571438292
ACACA,0.0287966857656573
ACACB,0.00372193019483573
ACAD10,0.970699039876344
ACAD11,0.712767264667561
ACAD8,0.62930385862484
ACAD9,0.578255376977393
ACADL,0.935470864733357
ACADM,0.643284318471929
ACADS,0.339920039863217
ACADSB,0.655731709303158
ACADVL,0.031946558685749
ACAN,NA
ACAP1,0.597402870366395
ACAP2,0.4657215471779
ACAP3,NA
ACAT1,0.127419257405872
ACAT2,0.863158159235172
ACBD3,NA
ACBD4,0.358290507277441
ACBD5,NA
ACBD6,NA
ACBD7,NA
ACCS,0.994613951970434
ACCSL,NA
ACD,0.000857681954589659
ACE,0.983330205876529
ACE3P,NA
ACER1,NA
ACER3,NA
