SYMBOL,P
AL627309.1,0.050856
AL669831.1,0.003955
AL645608.2,0.00072464
SAMD11,6.2765e-06
AL645608.1,4.9135e-05
NOC2L,4.0613e-05
KLHL17,8.2077e-05
PLEKHN1,3.0441e-05
C1orf170,3.0441e-05
HES4,6.5661e-05
ISG15,0.00046756
AGRN,0.00020896
RNF223,0.0018403
C1orf159,0.0022621
TTLL10,0.0015181
TNFRSF18,0.000701
TNFRSF4,0.00065358
SDF4,0.0010975
B3GALT6,0.0011778
FAM132A,0.0016454
UBE2J2,0.002171
SCNN1D,0.010851
ACAP3,0.014976
PUSL1,0.031947
CPSF3L,0.030534
GLTPD1,0.026211
TAS1R3,0.013455
DVL1,0.033378
MXRA8,0.033378
AURKAIP1,0.011612
CCNL2,0.011612
RP4-758J18.2,0.010313
MRPL20,0.01249
ANKRD65,0.01249
TMEM88B,0.01249
VWA1,0.0048088
ATAD3C,0.0048088
ATAD3B,0.0034231
ATAD3A,0.00067912
TMEM240,0.0012911
SSU72,0.0070922
AL645728.1,0.0070922
C1orf233,0.0050332
MIB2,0.0050332
MMP23B,0.0050332
CDK11B,0.0050332
SLC35E2B,0.002176
CDK11A,0.044183
SLC35E2,0.018158
NADK,0.0027834
GNB1,0.0012115
CALML6,0.016491
TMEM52,0.016491
C1orf222,0.0057374
GABRD,0.0026332
PRKCZ,1.6327e-05
C1orf86,0.0040494
AL590822.2,0.00043518
AL590822.1,0.0050427
SKI,0.0027561
MORN1,0.00038803
AL589739.1,0.0043594
RER1,0.0011071
PEX10,0.00020542
PLCH2,5.2138e-05
PANK4,0.00031685
HES5,0.00031685
TNFRSF14,0.00012596
FAM213B,0.000829
MMEL1,0.0005503
TTC34,0.00012476
ACTRT2,0.00035179
PRDM16,4.34e-05
ARHGEF16,0.0030947
MEGF6,0.00092851
TPRG1L,0.0053311
WRAP73,0.0044216
TP73,0.00025205
CCDC27,0.0007288
SMIM1,0.00092095
LRRC47,0.0013071
CEP104,0.00080172
DFFB,0.00062605
C1orf174,0.00040826
AJAP1,1.3981e-06
NPHP4,0.0035017
KCNAB2,0.0021205
AL035406.1,0.0016269
CHD5,0.00082305
RPL22,0.00027884
RNF207,1.594e-05
ICMT,2.1322e-05
HES3,2.1322e-05
GPR153,2.1135e-05
ACOT7,6.5307e-06
HES2,0.0017948
ESPN,0.0011318
TNFRSF25,0.001405
PLEKHG5,0.0006726
NOL9,0.00010456
TAS1R1,0.0003111
ZBTB48,0.0011489
KLHL21,0.0025968
PHF13,0.0015766
THAP3,0.0055823
DNAJC11,0.0098976
CAMTA1,6.1711e-05
VAMP3,0.038415
PER3,0.028473
UTS2,0.023822
SLC45A1,0.0024249
RERE,0.00013964
ENO1,0.010594
CA6,0.0005721
SLC2A7,0.0016597
SLC2A5,5.3727e-06
GPR157,0.00010524
H6PD,0.0047817
SPSB1,0.00012924
SLC25A33,0.00014875
TMEM201,0.0011537
PIK3CD,0.0017663
C1orf200,0.002142
CLSTN1,0.0011135
CTNNBIP1,0.0013024
LZIC,0.0044764
NMNAT1,0.0042347
RBP7,0.0030595
UBE4B,0.0016147
KIF1B,0.00086563
PGD,0.015283
APITD1,0.016134
APITD1-CORT,0.016134
CORT,0.016134
DFFA,0.0011901
PEX14,2.6468e-05
CASZ1,2.1746e-06
C1orf127,0.00046921
TARDBP,0.0058823
MASP2,0.0058823
SRM,0.041631
EXOSC10,0.016853
MTOR,4.8876e-05
ANGPTL7,0.00091888
UBIAD1,0.0012431
PTCHD2,0.0009894
FBXO2,0.0018048
FBXO44,0.0013362
FBXO6,0.0013362
MAD2L2,0.00062005
DRAXIN,0.0002178
AGTRAP,0.0013997
C1orf167,0.0024988
MTHFR,0.0039414
CLCN6,0.0090847
NPPA,0.028745
NPPB,0.028745
KIAA2013,0.0070517
PLOD1,0.01234
MFN2,0.0094447
MIIP,0.0095091
TNFRSF8,0.00023848
TNFRSF1B,0.00083063
VPS13D,0.00039038
DHRS3,0.00010249
AADACL4,0.00010179
AADACL3,0.022569
C1orf158,0.0065465
PRAMEF12,0.001157
PRAMEF1,0.0035071
PRAMEF11,0.0065096
HNRNPCL1,0.0066216
PRAMEF2,0.0066216
PRAMEF4,0.0072731
PRAMEF10,0.0071588
PRAMEF7,0.0057716
LRRC38,0.004858
PDPN,0.00026039
PRDM2,9.5979e-05
KAZN,2.0811e-06
TMEM51,0.005414
C1orf195,0.0060119
FHAD1,9.1677e-07
EFHD2,0.00042229
CTRC,0.00098448
CELA2A,0.0046316
CELA2B,0.0096708
CASP9,0.0084917
DNAJC16,0.0040708
AGMAT,0.0030342
DDI2,0.0010079
RSC1A1,0.0038091
PLEKHM2,0.00019936
SLC25A34,0.00034058
TMEM82,0.00081195
FBLIM1,0.0022734
SPEN,0.0073927
ZBTB17,0.0033834
C1orf64,0.0020373
HSPB7,0.0011838
CLCNKA,0.0012922
CLCNKB,0.0011009
FAM131C,0.0012442
EPHA2,0.0022978
SZRD1,0.011589
SPATA21,0.011589
NECAP2,0.011589
FAM231B,0.0137
NBPF1,0.0137
FAM231A,0.047643
FAM231C,0.047643
CROCC,0.0029958
MFAP2,0.0043002
ATP13A2,0.0043002
SDHB,0.0014482
PADI2,0.0016189
PADI1,0.0079685
PADI3,0.008196
PADI4,0.0010983
AC004824.2,0.0010847
RCC2,0.0033997
ARHGEF10L,0.0070896
ACTL8,0.00066384
IGSF21,2.8383e-05
KLHDC7A,0.0025372
PAX7,0.00032188
TAS1R2,0.00010799
RP13-279N23.2,5.2924e-05
ALDH4A1,0.0001025
IFFO2,7.7148e-05
UBR4,0.0051379
EMC1,0.0087658
MRTO4,0.0059312
AKR7A3,0.00091805
AKR7A2,0.00042021
PQLC2,0.00030731
CAPZB,0.00041926
MINOS1-NBL1,0.0051229
MINOS1,0.0067645
NBL1,0.0089696
HTR6,0.0089696
TMCO4,0.0005116
RNF186,0.000216
OTUD3,0.00051378
PLA2G2E,0.0013585
PLA2G2A,0.0057591
PLA2G5,0.001835
PLA2G2D,5.7968e-06
PLA2G2F,1.5421e-05
PLA2G2C,2.6614e-05
UBXN10,0.00038642
VWA5B1,0.00022808
CAMK2N1,0.0048265
MUL1,0.044071
FAM43B,0.039287
CDA,0.020194
PINK1,0.013302
DDOST,0.014209
KIF17,0.012493
SH2D5,0.0046409
HP1BP3,0.0044195
EIF4G3,0.019591
ECE1,5.9277e-05
NBPF3,0.0002511
ALPL,0.00020337
RAP1GAP,6.3897e-05
USP48,0.00025157
LDLRAD2,1.215e-05
HSPG2,0.0016001
CELA3B,0.009863
CELA3A,0.014084
CDC42,0.0093308
WNT4,0.0024038
ZBTB40,0.0063842
EPHA8,0.0030803
C1QA,0.00016204
C1QC,0.00030391
C1QB,0.00030391
EPHB2,0.00041821
LACTBL1,0.00052242
C1orf234,0.00091488
KDM1A,0.00041669
LUZP1,7.1643e-05
HTR1D,0.00016674
HNRNPR,0.00011042
ZNF436,6.6404e-05
C1orf213,6.6404e-05
TCEA3,0.00081652
ASAP3,0.0025132
E2F2,0.0012195
ID3,0.00074768
MDS2,0.0007223
HMGCL,0.0029393
FUCA1,0.0019563
CNR2,6.3842e-05
PNRC2,0.00032301
SRSF10,0.00032301
MYOM3,0.00020589
IL22RA1,0.01024
IFNLR1,0.0022569
GRHL3,0.0020754
STPG1,0.005405
NCMAP,0.011979
SRRM1,0.00071501
CLIC4,0.00021426
RUNX3,0.00024433
SYF2,0.0011713
C1orf63,2.992e-05
RHD,0.00036278
TMEM50A,0.00015908
RHCE,0.00026397
TMEM57,0.00033315
LDLRAP1,0.0003988
MAN1C1,0.0014694
SEPN1,3.1486e-05
RP1-317E23.6,1.4318e-05
MTFR1L,1.4318e-05
AL020996.1,3.1486e-05
AUNIP,0.0040342
PAQR7,0.0036239
STMN1,0.01139
PAFAH2,7.8252e-05
EXTL1,3.6929e-06
SLC30A2,0.00013795
TRIM63,0.00023826
PDIK1L,0.00058789
FAM110D,0.015608
ZNF593,0.015608
CNKSR1,0.015608
CATSPER4,0.015608
UBXN11,0.043708
CD52,0.043708
AIM1L,0.0010798
ZNF683,0.0082624
LIN28A,0.0059704
DHDDS,0.0059704
HMGN2,0.024094
ARID1A,0.003854
GPN2,0.02049
GPATCH3,0.02049
NUDC,0.02609
NR0B2,0.02049
C1orf172,0.021532
TRNP1,0.02237
FAM46B,0.012935
SLC9A1,0.0004474
WDTC1,0.018318
TMEM222,0.030481
SYTL1,0.030481
MAP3K6,0.034118
FCN3,0.034118
CD164L2,0.034118
WASF2,0.018161
AHDC1,0.00094637
FGR,0.0040446
IFI6,0.0040446
FAM76A,0.0019969
STX12,0.012391
PPP1R8,0.015686
AL109927.1,0.021927
THEMIS2,0.0061625
RPA2,0.0076525
SMPDL3B,0.015641
XKR8,0.014446
EYA3,0.013126
PTAFR,0.00018798
DNAJC8,7.2007e-05
AL353354.1,0.00047336
AL353354.2,0.00047336
ATPIF1,6.4918e-05
SESN2,3.1632e-05
MED18,0.00011624
PHACTR4,4.1431e-05
RCC1,5.4438e-05
TRNAU1AP,0.0008015
TAF12,0.002152
RAB42,0.0063592
GMEB1,0.00099883
YTHDF2,0.0086618
OPRD1,0.0013286
EPB41,0.0019059
TMEM200B,0.0023347
SRSF4,0.0024373
MECR,0.0013939
PTPRU,0.00054098
MATN1,0.012689
LAPTM5,0.0012268
SDC3,0.0072226
PUM1,0.0023739
NKAIN1,0.010013
SNRNP40,0.004196
ZCCHC17,0.0090539
FABP3,0.017261
SERINC2,0.011484
AC114494.1,0.0077831
TINAGL1,0.017809
HCRTR1,0.00046522
PEF1,0.011099
COL16A1,0.011099
BAI2,0.0021521
SPOCD1,0.0022491
PTP4A2,0.017245
AL136115.1,0.017245
KHDRBS1,0.0023677
TMEM39B,0.027447
KPNA6,0.027447
TXLNA,0.027447
CCDC28B,0.027447
IQCC,0.027447
DCDC2B,0.027447
TMEM234,0.027447
EIF3I,0.027447
FAM167B,0.027447
LCK,0.0088118
HDAC1,0.0030632
MARCKSL1,0.0030632
TSSK3,0.0033295
FAM229A,0.0033295
BSDC1,0.0033295
RP1-27O5.3,0.034946
ZBTB8B,0.034946
ZBTB8A,0.034946
KIAA1522,0.014638
YARS,0.014638
RNF19B,0.029848
FKSG48,0.029848
AK2,0.022679
ADC,0.046825
TRIM62,0.047526
ZNF362,0.012797
A3GALT2,0.026375
PHC2,0.020497
ZSCAN20,0.0025624
CSMD2,4.7333e-07
C1orf94,0.0058986
SMIM12,0.00016732
GJB5,0.00080238
GJB4,0.00080238
GJB3,0.0021622
GJA4,0.0021622
DLGAP3,0.027248
RP11-244H3.4,0.041369
ZMYM6NB,0.041369
ZMYM6,0.041369
ZMYM1,0.026691
SFPQ,0.0017416
ZMYM4,0.0017544
KIAA0319L,0.004254
TFAP2E,0.046668
PSMB2,0.0077972
C1orf216,0.022739
COL8A2,0.046552
TRAPPC3,0.014568
MAP7D1,0.014568
THRAP3,0.00090292
SH3D21,0.0043173
EVA1B,0.0043173
RP11-268J15.5,0.0043173
STK40,0.002434
LSM10,0.0036521
OSCP1,0.0063909
MRPS15,0.012304
CSF3R,0.0098377
GRIK3,0.0045591
ZC3H12A,0.014826
MEAF6,0.0037885
SNIP1,0.0037885
DNALI1,0.0037885
GNL2,0.00051213
RSPO1,0.00092034
C1orf109,0.00038645
CDCA8,0.00069537
EPHA10,0.00037044
SF3A3,0.030193
FHL3,0.014276
UTP11L,0.014276
POU3F1,0.014276
RRAGC,0.0031503
MYCBP,0.00041085
GJA9,0.00041085
RHBDL2,0.0001274
AKIRIN1,0.0015423
NDUFS5,0.0043067
MACF1,0.0015622
KIAA0754,0.0096582
BMP8A,0.017351
PABPC4,0.038005
HEYL,0.0042788
NT5C1A,0.0046198
HPCAL4,0.0050641
PPIE,0.002695
BMP8B,0.0019006
OXCT2,0.0055771
TRIT1,0.0026635
MYCL,0.0032536
MFSD2A,0.0022962
CAP1,0.0067796
PPT1,0.049269
RLF,0.005754
TMCO2,0.0016264
ZMPSTE24,0.00030773
COL9A2,0.00030779
SMAP2,0.001141
ZFP69B,0.00937
ZFP69,0.012133
