SYMBOL,P
AL669831.1,0.0012571
AL645608.2,0.0043026
SAMD11,0.0018398
AL645608.1,0.0022016
NOC2L,0.0019791
KLHL17,0.0017204
PLEKHN1,0.0010217
C1orf170,0.00090703
HES4,0.0039747
ISG15,0.005268
AGRN,0.0025905
RNF223,0.00057024
C1orf159,0.0013053
TTLL10,0.00066917
TNFRSF18,0.00040359
TNFRSF4,0.00026762
SDF4,0.0032694
B3GALT6,0.0072799
FAM132A,0.0063394
UBE2J2,0.0063394
SCNN1D,0.00885
ACAP3,0.00885
PUSL1,0.010015
CPSF3L,0.0097806
GLTPD1,0.008935
TAS1R3,0.0080839
DVL1,0.0059351
MXRA8,0.0086806
AURKAIP1,0.0086806
CCNL2,0.0051153
RP4-758J18.2,0.0025786
MRPL20,0.0025786
ANKRD65,0.0025786
TMEM88B,0.0025786
VWA1,0.005629
ATAD3C,0.005629
ATAD3B,0.009349
TMEM240,0.031112
SSU72,0.006538
AL645728.1,0.0029434
C1orf233,0.0035669
MIB2,0.0010815
MMP23B,0.00050675
CDK11B,0.00050675
SLC35E2B,0.00011208
CDK11A,0.00015841
SLC35E2,0.00037572
NADK,9.9628e-05
GNB1,0.0025528
CALML6,0.0066871
TMEM52,0.0066871
C1orf222,0.0020138
GABRD,0.0036565
PRKCZ,0.0062073
C1orf86,0.023218
AL590822.1,0.023218
SKI,7.5682e-05
MORN1,6.1934e-05
AL589739.1,0.00056765
RER1,0.00058875
PEX10,0.00030603
PLCH2,0.00048634
PANK4,0.0011742
HES5,0.0018887
TNFRSF14,3.5003e-05
FAM213B,2.9454e-05
MMEL1,0.00013382
TTC34,0.00076403
ACTRT2,0.00030404
PRDM16,0.00088127
ARHGEF16,0.0013621
MEGF6,0.00011355
TPRG1L,7.184e-05
WRAP73,1.5818e-05
TP73,0.00025743
CCDC27,0.00099469
SMIM1,0.0050682
LRRC47,0.0040642
CEP104,2.1095e-08
DFFB,1.0633e-07
C1orf174,2.0703e-07
AJAP1,0.00028994
NPHP4,0.0049173
KCNAB2,0.00058413
AL035406.1,0.0001397
CHD5,8.0181e-05
RPL22,0.0074337
RNF207,0.0017054
ICMT,0.0017054
HES3,0.0040005
GPR153,0.0012735
ACOT7,0.0011188
HES2,5.7164e-05
ESPN,0.00010308
TNFRSF25,0.0017513
PLEKHG5,0.015192
NOL9,0.015259
TAS1R1,0.0071188
ZBTB48,0.0032661
KLHL21,0.00030603
PHF13,0.00065312
THAP3,0.0011597
DNAJC11,0.00019224
CAMTA1,5.3549e-08
VAMP3,0.028525
PER3,0.0047617
UTS2,0.0053709
TNFRSF9,0.00015975
PARK7,0.0001244
ERRFI1,0.00083035
SLC45A1,0.0058987
RERE,0.0042018
ENO1,0.0020707
CA6,0.0046999
SLC2A7,0.0029922
SLC2A5,0.014805
H6PD,0.00047362
SPSB1,4.9557e-05
SLC25A33,0.0012533
TMEM201,1.2168e-05
PIK3CD,5.9468e-05
C1orf200,0.00026677
CLSTN1,0.0013879
CTNNBIP1,0.0005267
LZIC,0.0057699
NMNAT1,0.005229
RBP7,0.0029975
UBE4B,0.00030776
KIF1B,4.5249e-05
PGD,9.1484e-05
APITD1,0.00062797
APITD1-CORT,0.00062797
CORT,0.0016602
DFFA,0.0033155
PEX14,0.0038696
CASZ1,4.6481e-07
C1orf127,0.0066824
TARDBP,0.012166
MASP2,0.01206
SRM,0.014096
EXOSC10,0.0087624
MTOR,0.0054693
ANGPTL7,0.0099821
UBIAD1,0.013348
PTCHD2,0.00019555
FBXO2,0.0041143
FBXO44,0.0036916
FBXO6,0.0029244
MAD2L2,0.0013326
DRAXIN,0.0013149
AGTRAP,0.003443
C1orf167,0.0036156
MTHFR,0.0036156
CLCN6,0.0099211
NPPA,0.015448
NPPB,0.014362
KIAA2013,0.011032
PLOD1,0.011165
MFN2,0.0037669
MIIP,0.0081885
TNFRSF8,0.0025822
TNFRSF1B,0.002897
VPS13D,0.00064465
DHRS3,5.7678e-07
AADACL4,1.3027e-05
AADACL3,0.00023358
C1orf158,0.00021432
PRAMEF12,0.00061479
PRAMEF1,0.0015253
PRAMEF11,0.0019001
HNRNPCL1,0.0016299
PRAMEF2,0.002002
PRAMEF4,0.0039243
PRAMEF10,0.0065642
PRAMEF7,0.028227
PRAMEF26,0.0091341
PRAMEF3,0.0269
PRAMEF5,0.0269
PRAMEF8,0.0269
PRAMEF20,0.013817
LRRC38,0.0063825
PDPN,0.0002773
PRDM2,5.5912e-05
KAZN,0.00066268
TMEM51,0.0017046
C1orf195,0.016345
FHAD1,6.2296e-05
EFHD2,0.0021312
CTRC,0.00075727
CELA2A,0.0025184
CELA2B,0.0025184
CASP9,0.0022717
DNAJC16,0.0073271
AGMAT,0.0056126
DDI2,0.043164
RSC1A1,0.044392
PLEKHM2,0.0055717
SLC25A34,0.0055717
TMEM82,0.0055717
FBLIM1,0.0025003
SPEN,0.023893
ZBTB17,0.007048
C1orf64,0.0084721
