"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"MIR6817_3P","MIR6817_3P",201,0.349283058419864,2.14927010191508,4.01647496266409e-09,1.28969011051144e-05,9.76214809346461e-06,5256,"tags=53%, list=32%, signal=37%","PSD3/TMEM132B/FRMD6/MAGI2/TNS1/PARD3B/LPP/GPR176/LENG8/ELAVL4/GFRA2/BARX2/TMEM178B/IL5RA/RERGL/CTTNBP2NL/NUDCD3/RNF213/GRID1/GPC6/KLHL14/PLCXD3/SH3PXD2A/F7/PHF21A/ZNF415/RUNX2/TIAM1/TFAP2E/EDN3/RTN4RL1/FAT3/ENDOV/FAM131B/GRAMD1B/DLX6/ESR1/NFATC2/ALG10B/RORA/SLC6A17/RBM20/NEURL1B/SH3TC2/KCNS1/DISC1/MEF2C/THSD7B/SBNO1/GPBP1L1/AHCYL1/GTDC1/MFSD8/NIPA1/PRDM2/FRMD3/CCDC7/CACNG8/ARID3A/PLCL1/SLCO2A1/EMX2/TMEM135/MAGI3/TBX5/TNFRSF13B/PAPPA/NEK2/TRMT12/NRN1/ZBTB7A/TRABD/VANGL1/SESN3/SMTNL2/AGPAT1/PLXNA1/LRRC10B/DIRAS1/GPATCH11/DPF3/UGCG/SGMS1/AHDC1/FGG/USF2/TAF11/PITPNM3/SEL1L/ZNF592/XRCC4/FEZ2/ELAVL3/DVL3/KDM2A/MAP2K4/KRT28/BRINP2/EPB41L5/INHBB/MC2R/LGI2/BBX/DTNA/BCL11A/ATAT1/KCTD21/SVEP1"
"MEF2_02","MEF2_02",198,0.339208662802257,2.08410445803511,5.71531682723354e-08,8.92332598338887e-05,6.75440007069282e-05,4155,"tags=44%, list=25%, signal=33%","HDAC9/RBFOX1/FOXP1/ESRRG/CLCN1/TWIST1/ADCY2/CELF4/ELAVL4/NR4A1/NBEA/COL13A1/IRS1/ATP2A3/PAK6/CACNA2D3/NREP/SMARCA2/HDAC7/MYOCD/NELL2/CASQ1/GPR153/KCNQ5/TPM2/STAC/ZNF385B/TIMP2/ESR1/RBMS3/TNNI1/GABRB3/CACNG3/TSC22D1/ATP1A2/DLG2/LYN/RASGRP3/EXTL1/TFIP11/SOX5/S100A4/ADRA1A/FGF12/MLLT3/MEF2C/PPP2R2A/GPBP1L1/PPARGC1A/ACTC1/ASB16/WFDC1/DGKI/ALPK2/GPR27/RALY/EYA1/TEF/TNNT2/RASGEF1B/SCAI/ST6GALNAC5/TRDN/CNPY2/SLC25A4/CKM/USP2/NOG/MAFA/ARPP21/ZHX2/SPTB/CUX1/CPEB4/KCNN1/FBXW11/S1PR1/SIK2/RFX4/CAPN3/SLAMF1/PPP2R3A/DIRAS1/GRK7/KCNJ9/NPNT/KLHDC8B/MYOM2"
"MIR7110_3P","MIR7110_3P",364,0.285061264321573,1.85755607189917,8.33695981007992e-08,8.92332598338887e-05,6.75440007069282e-05,6075,"tags=52%, list=37%, signal=33%","PRKCE/PLXNA4/ESRRG/OSBPL10/NTM/CALN1/TNS1/PARD3B/LPP/CELF4/MSI2/ZBTB20/SOX2/GPR176/LENG8/ELAVL4/PRDM10/ATP6AP1L/APOLD1/TMEM178B/IL5RA/NELL1/CTTNBP2NL/RNF213/TMEM196/GRID1/RAD51B/KCNIP1/SLC4A8/MBNL1/AICDA/ST6GAL1/PTPRN2/CASP2/AGAP1/ERCC1/SIPA1L3/RIMBP2/RAPGEF3/SH3PXD2A/F7/PHF21A/THSD7A/ANK1/RIMKLB/ATG10/CPXM2/ZNF609/PDGFA/HBS1L/PTPRB/KRT26/SIGLEC15/ADAMTS17/FAM131B/ZNRF3/GRAMD1B/USH2A/DLX6/ARL15/FREM2/RORA/DIRAS2/TMCC1/ZNF432/ZNF557/DLG2/LPL/CCDC77/PPFIA1/RIN2/RIMS4/RBM20/SOX5/NEURL1B/DISC1/ZZZ3/CELSR2/RDX/SBNO1/GPBP1L1/B4GALT5/EGFLAM/ZNF354A/NIPA1/PRDM2/TGFBR3/FRMD3/PEA15/CACNG8/MYOG/PLCL1/INMT/SETX/CPLX2/GOLGA7/IQSEC3/PPP3CA/EMX2/TMEM135/PCM1/TBX5/PLA2G2F/TNFRSF13B/PAPPA/ZDHHC21/DPYD/CABP5/KLHL29/RTTN/TRIM66/SCN7A/TRMT12/CUX1/NRN1/ZBTB7A/CDV3/SEL1L3/LHFPL3/ZNF608/SMTNL2/AGPAT1/KIF1C/PLXNA1/ACER3/ZDHHC22/CLCN3/ADTRP/LRRC10B/ELOVL7/DIRAS1/GPATCH11/DPF3/KCNJ9/AHDC1/LGSN/PLA1A/FOXK1/SETBP1/USF2/PITPNM3/DDX19A/INO80/ZSWIM6/HMBOX1/NOS1/DLG4/FFAR4/ELAVL3/PROM1/SOCS6/ZNF239/QSOX2/BRINP2/FIBIN/CORO2A/INHBB/DUSP7/MC2R/TLN2/BBX/ZFP1/BCL11A/HS3ST5/PROSER2/SEMA3A/ADPRH/LACC1/AP3D1/EYA3/OAS3/NAV1/EGFR/FEM1A/EPHA4/HPCAL4/ANKS4B/CCDC93/ARHGAP19/LRP8/RREB1/PPP6R1/IRX5/HDAC3/CCL16/GLS2/ZNF431/MAP1B"
"MIR129_5P","MIR129_5P",333,0.285423780171598,1.84503939750537,1.4648582199133e-07,0.00011759149360354,8.90094113099951e-05,5636,"tags=48%, list=35%, signal=32%","CNTN4/PSD3/HDAC9/CAMTA1/RBFOX1/NRXN3/CNTNAP2/ARHGEF10L/LPP/ADCY2/CLNK/CAMK1D/FUT9/ZBTB20/CDC42EP3/ELAVL4/S1PR3/GFRA2/IL27RA/CREB5/GABBR2/ZNF385D/CSMD2/KIAA0232/RUNX1/GANC/CBLB/ZFHX3/MBNL1/KCTD1/NFIB/CADM2/RYR2/VGLL4/PHF21A/PIEZO2/ATF7IP/STIM2/LAMA4/HCN1/SSH2/HBS1L/BACH2/TNRC6C/SMAD4/SEC14L1/FAT3/NFIC/GRIA4/RPS6KA5/DUSP10/IL17RB/GLCCI1/TSHZ1/TNFSF11/RBMS3/TCF20/CERS6/SEMA6A/SGCD/SATB1/PCLO/ALOX12B/NRXN1/TNRC6B/PKHD1/CDH12/NEDD1/ITPR1/CACNB4/NOL4/SBNO1/TSHZ2/CELF2/UBASH3B/RASSF6/CTH/MATN2/KCNB1/KLF17/CNN3/TAOK1/ZNRF1/SLC13A1/CDCA2/ZNF470/WDR59/ZFP36L2/JARID2/LRRC4C/SCAI/G3BP1/COL1A1/VCP/MED12L/RPS6KB1/RBMS1/XKR4/UNC80/BEND7/ELK3/ELF1/IFFO2/STOX2/ZFP36L1/APCDD1/ICAM4/DENND1B/EP300/CTBP2/SESTD1/ANKS1B/SUN2/PGRMC2/MEPE/SGMS1/AHDC1/MAST4/KANK4/KIF26A/PBX1/LARP1/HS1BP3/KLHL32/MED26/PIAS4/GLUL/SOS2/OTX1/PIK3R1/NR2C2/PRR11/ZMIZ1/PKNOX1/TMEM168/IKZF2/ACTN1/RGS17/AUTS2/MARVELD3/U2SURP/ZBTB4/KLF7/ZFP1/DGKH/OXR1/CD2AP/TNFRSF9/LIMS1/MTF1/FXR1/DLK1/MGLL/AS3MT/EBF1/CLOCK/IVD/CKAP4/USP13"
"TGCCTTA_MIR124A","TGCCTTA_MIR124A",496,0.257572297837207,1.7117563356311,4.64032380229123e-07,0.000298001594583143,0.000225568582305062,6170,"tags=49%, list=38%, signal=32%","MACROD2/NKAIN2/PDZD2/JAKMIP1/DMRT1/SRGAP3/TLL1/PRKD1/LPP/CNTN3/RYR3/FRMD4A/MBOAT2/COL4A1/TMCC3/ZCCHC24/SLC31A2/ABCC4/RFX1/XKR6/NAV2/CACNB2/RAD17/OPN3/RTN3/OSBP2/GRID1/ABR/ADIPOR2/NEGR1/APBB2/ETF1/STRN3/NFIB/FARP1/PLCXD3/RYR2/PCSK6/FOXQ1/EBF3/SASH1/DNAJC1/SLC48A1/PIEZO2/ATF7IP/SREK1/TCF3/NRP2/PHTF2/MECOM/RUNX2/BACH2/WDFY3/EXTL3/LITAF/PTPN1/MYO10/SLC7A8/ESYT2/TOB2/RALGPS1/THRB/RBMS3/UBE2B/CUL5/COTL1/SEMA6A/SGCD/ITPR3/PDXK/MYH9/TMEM184B/ICMT/PLEKHH1/VPS37B/DYNC1LI1/MEA1/JAG1/ALCAM/MLLT3/CDK6/SLC1A4/TSHZ2/WDFY1/CDON/TRAM2/AP3M1/OXSR1/SOX12/DESI2/PTTG1IP/NAV3/FGFR2/PPP1R13L/PID1/CNN3/ANTXR2/RAI14/HDAC5/IST1/EYA1/SMARCAD1/KCNK10/PEA15/ZNF3/SPRY2/RWDD4/CLDN11/KLF4/SPECC1L/CPNE5/LIMCH1/SNX4/PRRX1/EYA4/OSBPL11/RAP2A/MMD2/ZNF219/MOCS1/ANXA5/RPS6KB1/RBMS1/CADPS/SH2B3/CSNK1G1/ELK3/ANGEL1/SLC27A1/KANK1/EN2/MAPK4/EPHX4/ZNF772/RXRA/LRP6/ZNF608/VANGL1/ELOVL5/DENND1B/SESTD1/ELK4/ERF/KLF13/RASGEF1A/LMF2/MPC1/AKAP1/PPP6R3/AHR/LIN28B/SUCLG2/FLOT2/CTDSPL/PTBP1/EFNB2/CASC3/KIAA0408/PGRMC2/HDAC4/ADCY1/LPCAT3/SH3BP5L/SLITRK6/EYA2/LARP1/PIK3CA/LPIN1/KCNQ2/BLOC1S6/TACC2/MYRIP/STK4/MED26/P4HA1/ZRANB2/WIPF1/MYO1C/VAT1L/DCTN4/MACF1/TRPS1/GAS2/FAM53B/TMEM168/RAVER2/SEMA6D/NDFIP1/EMP2/MAP2K4/PSEN1/MAPK14/AAK1/FA2H/ARHGEF7/DTNA/TEAD1/ZBED4/WIPF2/PCGF5/RAB6A/ZNF148/PPTC7/FNBP1L/PLIN3/PMEPA1/RGS9/RFFL/LCOR/C1orf21/YEATS2/GRIA2/GLTP/NFIX/NAV1/KCNK2/JPH1/CEBPG/ANGPT1/WASF1/NFATC1/CDK18/NFASC/DMXL1/VSNL1/GGA1/NR5A2/FAM222B/RHOG/SLC35F5/RREB1/LCLAT1/NACC1/NCOA7/NEUROD1/BAZ2B/NPLOC4/KLHL17/MAP1B/MTDH/EDEM1/SUGT1/PPARA/DUSP15/AHNAK/CCDC6"
"SIX1_TARGET_GENES","SIX1_TARGET_GENES",282,0.29344999925569,1.86958933526106,5.66202039788878e-07,0.000303012458293681,0.000229361492960091,5536,"tags=49%, list=34%, signal=33%","CAMTA1/PRKCE/TBC1D22A/TENM3/CNTNAP2/FRMD6/NXN/AFAP1/C1QTNF7/IFITM2/CDKAL1/KIAA0319L/TMC2/PRKAG2/IFITM1/IFITM3/NAV2/RAB11FIP4/ARHGAP15/NRP1/CHRNA9/ELF3/DPP10/COL13A1/ADD2/FBXW7/CABLES1/RAPGEF3/SASH1/SLC48A1/PCCA/ATP11A/TENM2/BACH2/WDFY3/SEC14L1/ZNF331/LINC00923/ACVRL1/ANO3/TSHZ1/GRAMD1B/FAM107B/DOT1L/TP53/ALG10B/GABRB3/GNAL/COX7A2L/MYH9/ICMT/OXGR1/MEGF8/ZNF496/VPS37B/ABCA4/ITPR1/GLI3/AP3B2/RDX/TTYH2/TLDC2/FARSB/IGF1R/CLN8/WRAP53/NFRKB/FGFR2/CNKSR3/RPL38/B4GALNT3/NKAIN4/SV2C/SLC44A3/MEOX1/PDIA5/TMEM200C/COL1A1/USP2/ZNF175/ARFGAP1/FKBP1A/STAP2/COL2A1/RBMS1/CPZ/ELSPBP1/ADCY5/ACACB/SHROOM3/BMPR1A/LEF1/ANKRD6/GATM/GBX1/CNIH3/FRMD4B/PTBP1/DOCK4/AKAP6/COL9A2/DEF6/HLA-DMA/FANCG/LARP1/LRRC30/EXPH5/ANO2/HS1BP3/LPIN1/ANK3/MPC2/AGPAT4/DDX4/ACVR1/ARHGAP24/ZMIZ1/BRD2/SEMA6D/SMAD6/RGS17/SEMA3C/EPB41L5/FIBIN/CORO2A/ATN1/GPC1/TTBK2/RAB6A/MAPK10/PMEPA1/C5AR1/SRBD1/GLTP/CRIP2/CDH24/ARRDC4/UST"
"MIR6744_3P","MIR6744_3P",54,0.474802959007144,2.41664383534658,7.42056326826818e-07,0.00034039183792013,0.000257655347164379,2588,"tags=48%, list=16%, signal=41%","NKAIN2/BSN/TMEM178B/DMRT2/CDK14/AMZ1/GREM1/SLC4A8/F2RL3/CASZ1/KALRN/FIBCD1/PRKCA/BACH2/GRAMD1B/KCNA6/PDXK/STMN4/MEGF8/LHX6/MRAP/DSC1/DCUN1D4/COL5A1/B4GALNT3/FBXL7"
"MIR3960_MIR8072","MIR3960_MIR8072",18,-0.577107053943482,-3.16418037040524,1.97196927598459e-06,0.000403799539899902,0.00030565101464665,4162,"tags=89%, list=26%, signal=66%","PCDHA1/PCDHA2/PCDHA3/PCDHA4/PCDHA5/PCDHA6/PCDHA7/PCDHA8/PCDHA9/PCDHA10/PCDHA11/PCDHA12/PCDHA13/PCDHAC1/PCDHAC2/POU3F3"
"MIR4757_5P","MIR4757_5P",52,0.473920082927526,2.39071366556718,1.59936016587681e-06,0.000403799539899902,0.00030565101464665,2588,"tags=48%, list=16%, signal=41%","NKAIN2/BSN/TMEM178B/DMRT2/CDK14/AMZ1/GREM1/SLC4A8/F2RL3/CASZ1/KALRN/FIBCD1/PRKCA/BACH2/GRAMD1B/KCNA6/STMN4/MEGF8/LHX6/MRAP/DSC1/DCUN1D4/COL5A1/B4GALNT3/FBXL7"
"MEF2_03","MEF2_03",197,0.318066720171592,1.952617065259,1.03532174630377e-06,0.000403799539899902,0.00030565101464665,4043,"tags=41%, list=25%, signal=31%","HDAC9/FOXP1/CLCN1/TWIST1/ADCY2/CELF4/CDC42EP3/ELAVL4/LRRTM4/CTNND2/NR4A1/NBEA/OPN3/IRS1/ATP2A3/PAK6/THBS2/NFIB/SLC30A1/SMARCA2/HDAC7/PDLIM5/MBNL2/ADK/CASQ1/KCNQ5/HCFC1R1/THOC6/PTPN1/TPM2/STAC/ZNF385B/SHANK2/TIMP2/ESR1/TSC22D1/SLC6A13/ATP1A2/DLG2/LYN/RASGRP3/EXTL1/SOX5/FOS/FGF12/MLLT3/MEF2C/MYLK/AP3M1/PPARGC1A/NEIL3/ACTC1/ASB16/WFDC1/DGKI/ALPK2/SEMA7A/RALY/EYA1/TEF/PTPRO/RASGEF1B/TRDN/CNPY2/PRRX1/USP2/BZW2/ARPP21/NEK2/CUX1/CPEB4/KCNN1/FBXW11/ELK4/S1PR1/SIK2/RFX4/CAPN3/SLAMF1/PPP2R3A/DIRAS1/KCNJ9"
