SYMBOL,P
OR4F16,0.025667
AL669831.1,0.013903
AL645608.2,0.0079813
SAMD11,0.00087576
AL645608.1,0.00082154
NOC2L,0.00075447
KLHL17,0.0014181
PLEKHN1,0.0014181
C1orf170,0.0021075
HES4,0.001294
ISG15,0.00048737
AGRN,0.00024139
RNF223,0.0046983
C1orf159,1.3746e-05
TTLL10,0.00067367
TNFRSF18,0.00061802
TNFRSF4,0.0024366
SDF4,0.0053849
B3GALT6,0.0069913
FAM132A,0.005728
UBE2J2,0.0028106
SCNN1D,0.002445
ACAP3,0.0022768
PUSL1,0.0023264
CPSF3L,0.0037931
GLTPD1,0.005696
TAS1R3,0.011601
DVL1,0.013449
MXRA8,0.015125
AURKAIP1,0.021598
CCNL2,0.016014
RP4-758J18.2,0.017176
MRPL20,0.017176
ANKRD65,0.012462
TMEM88B,0.014012
VWA1,0.01935
ATAD3C,0.01935
ATAD3B,0.0080793
ATAD3A,0.00039299
TMEM240,0.00012868
SSU72,0.0019269
AL645728.1,0.0019269
C1orf233,0.01387
MIB2,0.002657
MMP23B,0.002657
CDK11B,0.0033501
SLC35E2B,0.00091844
CDK11A,3.2243e-05
SLC35E2,0.0016906
NADK,0.0034197
GNB1,0.0031435
CALML6,0.0016449
TMEM52,0.0016449
C1orf222,0.00034512
GABRD,0.00048155
PRKCZ,5.0085e-05
C1orf86,0.0006706
AL590822.2,0.00059096
AL590822.1,0.0023213
SKI,0.00049346
MORN1,0.00025352
AL589739.1,0.0059733
RER1,0.00041739
PEX10,0.00024273
PLCH2,0.00055543
PANK4,0.0067969
HES5,0.01225
TNFRSF14,0.0020807
FAM213B,0.0027404
MMEL1,0.0048318
TTC34,0.0074714
ACTRT2,0.0048153
PRDM16,0.0026389
ARHGEF16,0.0039091
MEGF6,0.0001118
TPRG1L,0.0012574
WRAP73,0.00034442
TP73,0.0070716
CCDC27,0.010166
SMIM1,0.015707
LRRC47,0.015707
CEP104,0.015672
DFFB,0.0047905
C1orf174,0.023179
AJAP1,0.0049469
NPHP4,5.296e-06
KCNAB2,0.00020315
AL035406.1,0.0017885
CHD5,0.0003354
RPL22,0.00033577
RNF207,2.5626e-06
ICMT,0.00012443
HES3,0.00018772
GPR153,5.6912e-05
ACOT7,0.006339
HES2,0.010538
ESPN,0.0080083
TNFRSF25,0.0068622
PLEKHG5,0.0068622
NOL9,0.012879
DNAJC11,0.0016642
CAMTA1,1.3786e-09
VAMP3,0.0044646
PER3,0.0024729
UTS2,0.0045194
TNFRSF9,0.0010457
PARK7,0.0017133
ERRFI1,0.0068305
SLC45A1,0.0033904
RERE,0.0029556
ENO1,0.00010259
CA6,0.00019564
SLC2A7,2.8643e-05
SLC2A5,3.0839e-05
GPR157,0.00063735
H6PD,0.010291
SPSB1,0.0021917
SLC25A33,3.091e-05
TMEM201,0.0017039
PIK3CD,0.0030711
C1orf200,0.0084503
CLSTN1,0.007984
CTNNBIP1,0.04798
LZIC,0.04798
NMNAT1,0.0054304
RBP7,0.0026492
UBE4B,0.004172
KIF1B,0.048598
APITD1,0.011209
APITD1-CORT,0.011209
CORT,0.011209
DFFA,0.0014862
PEX14,0.00018407
CASZ1,1.7727e-05
C1orf127,0.00025403
TARDBP,0.010648
MASP2,0.02421
SRM,0.025844
EXOSC10,0.029648
MTOR,0.032627
ANGPTL7,0.035625
UBIAD1,0.014264
PTCHD2,0.001205
FBXO2,0.01261
FBXO44,0.012637
FBXO6,0.012147
MAD2L2,0.0016212
DRAXIN,0.0072375
AGTRAP,0.0079402
C1orf167,0.0092391
MTHFR,0.008344
CLCN6,0.0054184
NPPA,0.02141
NPPB,0.02141
KIAA2013,0.012687
PLOD1,0.012687
MFN2,0.016677
MIIP,0.0089487
TNFRSF8,0.00052715
TNFRSF1B,0.0034676
VPS13D,0.0087945
DHRS3,0.0054885
AADACL4,0.0023133
AADACL3,0.0092405
C1orf158,0.013498
PRAMEF12,0.013896
PRAMEF1,0.014042
PRAMEF11,0.013674
HNRNPCL1,0.013274
PRAMEF2,0.018345
PRAMEF4,0.0028004
PRAMEF10,0.00423
PRAMEF7,0.0018263
PRAMEF6,0.0091049
PRAMEF22,0.023802
WI2-3308P17.2,0.023802
PRAMEF26,0.0055248
PRAMEF3,0.019046
PRAMEF5,0.019046
PRAMEF8,0.019046
PRAMEF14,0.0038725
PRAMEF19,0.0038725
PRAMEF17,0.0038725
PRAMEF20,0.002174
LRRC38,0.00082347
PDPN,3.1638e-05
PRDM2,0.00022281
KAZN,6.1872e-05
TMEM51,0.00075482
C1orf195,0.0014308
FHAD1,0.0007117
EFHD2,0.00039569
CTRC,0.00047667
CELA2A,0.00047667
CELA2B,0.00047667
CASP9,0.0005745
DNAJC16,0.012632
AGMAT,0.03999
DDI2,0.022374
RSC1A1,0.021248
PLEKHM2,0.019503
SLC25A34,0.019755
TMEM82,0.017513
FBLIM1,0.0028795
SPEN,0.010864
ZBTB17,0.014898
C1orf64,0.012851
HSPB7,0.012096
CLCNKA,0.0069051
CLCNKB,0.0031173
FAM131C,0.0026566
EPHA2,0.0026881
ARHGEF19,0.0052059
C1orf134,0.0052059
RSG1,0.0052059
FBXO42,0.0015581
SZRD1,0.015841
SPATA21,0.0098985
NECAP2,0.016802
FAM231B,0.0047045
NBPF1,0.0047045
FAM231A,0.037421
FAM231C,0.011063
CROCC,2.2781e-05
MFAP2,0.00016054
ATP13A2,0.00019588
SDHB,0.0007778
PADI2,3.4181e-06
PADI1,3.1672e-05
PADI3,4.1822e-05
PADI4,0.0015137
AC004824.2,0.0027662
RCC2,0.002307
ARHGEF10L,4.3277e-07
ACTL8,0.00028538
IGSF21,2.361e-07
KLHDC7A,0.0046807
PAX7,0.002284
TAS1R2,2.3201e-05
RP13-279N23.2,0.00044608
ALDH4A1,0.00058827
IFFO2,0.00041879
UBR4,0.011072
AKR7A3,0.0047512
AKR7A2,0.0047512
PQLC2,0.0029934
CAPZB,0.0021771
MINOS1-NBL1,0.00058474
MINOS1,0.0039349
NBL1,0.00058474
HTR6,0.00011997
TMCO4,7.5023e-07
RNF186,0.0025379
OTUD3,0.022149
PLA2G2E,0.026649
PLA2G2A,0.024357
PLA2G5,0.007852
PLA2G2D,0.0036102
PLA2G2F,0.00033423
PLA2G2C,0.00034201
UBXN10,0.00034201
VWA5B1,0.0085208
CAMK2N1,0.01056
MUL1,0.039907
FAM43B,0.010207
CDA,0.012567
PINK1,0.0036958
DDOST,0.0017461
KIF17,0.0014401
SH2D5,0.0032234
HP1BP3,0.016692
EIF4G3,0.0033798
ECE1,0.00059716
NBPF3,0.00038101
ALPL,0.0017969
RAP1GAP,0.0010499
USP48,0.022597
HSPG2,0.0057345
CELA3B,0.0076168
CELA3A,0.006647
CDC42,0.0050181
WNT4,0.0013671
ZBTB40,0.0023359
EPHA8,8.3243e-05
C1QA,0.0021358
C1QC,0.0021358
C1QB,0.0021358
EPHB2,0.00045447
LACTBL1,0.010079
KDM1A,0.043432
LUZP1,0.043432
HNRNPR,0.034749
ZNF436,0.034749
C1orf213,0.034749
TCEA3,0.034749
ASAP3,0.021054
E2F2,0.016317
ID3,0.0007565
MDS2,1.762e-05
RPL11,0.0049475
TCEB3,0.0012088
PITHD1,7.1462e-05
LYPLA2,0.00040316
GALE,0.00040316
HMGCL,0.00030072
FUCA1,0.002383
CNR2,0.00058228
PNRC2,0.0012731
SRSF10,0.0012731
MYOM3,0.00049977
IL22RA1,0.0054129
IFNLR1,0.0053512
GRHL3,0.0037766
STPG1,0.0036945
NIPAL3,0.0082931
RCAN3,0.0004102
NCMAP,0.00038763
SRRM1,0.0030746
CLIC4,0.026117
RUNX3,0.00077671
SYF2,0.00084772
TMEM50A,0.045482
RHCE,0.045482
TMEM57,0.0098094
LDLRAP1,0.012973
MAN1C1,0.0018036
SEPN1,0.0065611
RP1-317E23.6,0.0020317
MTFR1L,0.0041196
AL020996.1,0.0041196
AUNIP,0.00051485
PAQR7,0.00041184
STMN1,5.4311e-05
PAFAH2,0.00012357
EXTL1,0.00012357
SLC30A2,0.0022349
TRIM63,0.0041202
PDIK1L,0.00060971
FAM110D,0.00042274
ZNF593,0.00042274
CNKSR1,0.00042274
CATSPER4,0.00042274
CEP85,0.0047919
SH3BGRL3,0.0018945
UBXN11,0.00019828
CD52,0.00019828
AIM1L,0.00019828
ZNF683,0.00019689
LIN28A,0.0012011
DHDDS,0.0057869
RPS6KA1,0.011645
ARID1A,0.021249
PIGV,0.018196
ZDHHC18,0.013242
SFN,0.011359
GPN2,0.011489
GPATCH3,0.019756
NUDC,0.035613
NR0B2,0.019756
C1orf172,0.037504
TRNP1,0.041133
FAM46B,0.041133
SLC9A1,0.0018844
WDTC1,0.0021692
TMEM222,0.00034058
SYTL1,0.00034058
MAP3K6,0.00034058
FCN3,0.00070957
CD164L2,0.00070957
GPR3,0.002013
WASF2,0.00016481
AHDC1,0.00059108
FGR,0.0015863
IFI6,0.0015863
FAM76A,0.0020148
STX12,0.00083744
PPP1R8,0.0025995
AL109927.1,0.0025995
THEMIS2,0.0025995
RPA2,0.0025995
SMPDL3B,0.022333
XKR8,0.022333
EYA3,0.001128
PTAFR,6.0762e-05
DNAJC8,7.3403e-05
AL353354.1,0.00012967
AL353354.2,0.00012967
ATPIF1,0.00020584
SESN2,0.0037983
MED18,0.012048
PHACTR4,0.022764
RCC1,0.027175
TRNAU1AP,0.023357
TAF12,0.017687
RAB42,0.023796
GMEB1,0.015625
YTHDF2,0.023225
OPRD1,0.012993
EPB41,0.0019612
TMEM200B,0.0091325
SRSF4,0.0091325
PTPRU,0.04614
MATN1,0.0011693
LAPTM5,0.0011693
SDC3,0.011862
PUM1,0.010542
NKAIN1,0.012033
SNRNP40,0.014613
ZCCHC17,0.017995
FABP3,0.050952
SERINC2,0.045917
AC114494.1,0.045917
TINAGL1,0.040951
HCRTR1,0.017244
PEF1,0.017244
COL16A1,0.047027
BAI2,0.036706
SPOCD1,0.036706
PTP4A2,0.0038119
AL136115.1,0.0025173
KHDRBS1,0.0079119
TMEM39B,0.0042223
KPNA6,0.0067802
TXLNA,0.010616
CCDC28B,0.015952
IQCC,0.0082457
DCDC2B,0.005186
TMEM234,0.005186
EIF3I,0.005186
FAM167B,0.0019551
LCK,0.0019551
HDAC1,0.0021308
MARCKSL1,0.045178
TSSK3,0.0070473
FAM229A,0.0070473
BSDC1,0.0070473
RP1-27O5.3,0.0080231
ZBTB8B,0.0012344
ZBTB8A,0.0077674
ZBTB8OS,0.0080967
RBBP4,0.0080537
SYNC,0.0076738
KIAA1522,0.0089465
YARS,0.0084617
S100PBP,0.035329
FNDC5,0.035329
HPCA,0.0073445
TMEM54,0.020096
RNF19B,0.020096
FKSG48,0.0068571
AK2,0.032594
TRIM62,0.0026841
ZNF362,0.012148
A3GALT2,0.020049
PHC2,0.0020052
ZSCAN20,0.00051388
CSMD2,7.1862e-06
HMGB4,0.0028024
C1orf94,0.009229
SMIM12,8.493e-06
GJB5,0.0003448
GJB4,0.0002294
GJB3,0.00014033
GJA4,0.00013373
DLGAP3,7.9381e-05
RP11-244H3.4,0.015625
ZMYM6NB,0.012901
ZMYM6,0.016161
ZMYM1,0.016253
SFPQ,0.0012533
ZMYM4,2.3439e-05
KIAA0319L,3.3997e-06
NCDN,0.0082149
TFAP2E,5.4626e-05
PSMB2,0.00022094
CLSPN,0.0012828
AGO4,9.519e-05
AGO1,0.00069029
AGO3,0.0028848
TEKT2,0.0086975
ADPRHL2,0.010464
COL8A2,0.013039
TRAPPC3,0.01347
MAP7D1,0.016194
THRAP3,0.0029151
SH3D21,0.0063778
EVA1B,0.023535
RP11-268J15.5,0.023535
STK40,0.0063315
LSM10,0.0063315
OSCP1,0.00040827
MRPS15,0.00029578
CSF3R,2.3802e-05
GRIK3,0.0040751
ZC3H12A,0.0064938
MEAF6,0.0045594
SNIP1,0.003325
DNALI1,0.00041699
GNL2,5.8927e-05
RSPO1,4.8071e-05
C1orf109,3.4706e-05
CDCA8,6.08e-05
EPHA10,0.0027194
MANEAL,0.0074776
YRDC,0.006136
C1orf122,0.0059235
MTF1,0.0010862
AL929472.1,0.0046707
